org_key,year,event_key,match_key,match_number,time,alliance,team_key,contributedPoints,totalAutoPoints,totalTeleopPoints,totalHumanPoints,totalEndgamePoints,totalAutoCoral,totalTeleopCoral,totalCoral,startOutside,startMiddle,startInside,preMatchStart,didStartingZone,autoCoralL4,autoCoralL3,autoCoralL2,autoCoralL1,autoAlgaeProc,autoAlgaeNet,cycleSpeedFactor,totalAlgae,onBargeSpeedFactor,cycleTime,teleopStation,teleopFloor,humanNet,teleopCoralL4,teleopCoralL3,teleopCoralL2,teleopCoralL1,teleopAlgaeProc,teleopAlgaeNet,onBargeTimeStart,onBargeTimeEnd,bargeStatus,teleopCoop,diedDuringMatch,recoveredFromFreeze,reliabilityFactor,outstandingPerformance,dataGood
frc8749,2025,2025txwac,2025txwac_qm14,14,2/28/2025 7:51:00 PM,red,frc5866,35,2,30,0,2,0,0,0,0,0,1,Inside,1,0,0,0,0,0,0,5.13667160507986,5,10.002590419632025,27.0,0,1,0,0,0,0,0,5,0,0,0,Parked,0,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm15,15,2/28/2025 7:59:00 PM,red,frc2969,5,2,0,0,2,0,0,0,0,0,1,Inside,1,0,0,0,0,0,0,0.002590419632126,0,3.662740416747463,160.0,0,0,0,0,0,0,0,0,0,80,35,Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm15,15,2/28/2025 7:59:00 PM,red,frc9786,7,2,2,0,2,0,1,1,0,1,0,Middle,1,0,0,0,0,0,0,0.4928154153051824,0,10.002590419632025,135.0,1,0,0,0,0,0,1,0,0,0,0,Parked,0,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm15,15,2/28/2025 7:59:00 PM,red,frc148,59,7,40,0,12,1,8,9,0,1,0,Middle,0,1,0,0,0,0,0,6.714878040082607,0,10.002590419632025,15.625,1,0,0,8,0,0,0,0,0,10,5,Deep Cage,1,0,0,1.0,1,1
frc8749,2025,2025txwac,2025txwac_qm15,15,2/28/2025 7:59:00 PM,blue,frc2714,54,16,35,0,2,2,6,8,0,0,1,Inside,1,2,0,0,0,0,0,6.329587884197819,1,8.002590419632043,17.857142857142858,0,0,0,5,1,0,0,1,0,0,10,Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm15,15,2/28/2025 7:59:00 PM,blue,frc2583,17,7,10,0,0,1,2,3,1,0,0,Outside,0,1,0,0,0,0,0,2.492815415305163,0,10.002590419632025,67.5,0,0,0,2,0,0,0,0,0,0,0,Not Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm15,15,2/28/2025 7:59:00 PM,blue,frc8858,2,0,0,0,2,0,0,0,0,1,0,Middle,0,0,0,0,0,0,0,0.002590419632126,0,10.002590419632025,160.0,0,0,0,0,0,0,0,0,0,0,0,Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm16,16,2/28/2025 8:07:00 PM,blue,frc3005,57,14,43,0,0,2,9,11,1,0,0,Outside,0,2,0,0,0,0,0,7.13667160507984,1,10.002590419632025,13.5,1,0,0,4,3,1,1,1,0,0,0,Not Parked,1,0,0,1.0,1,1
frc8749,2025,2025txwac,2025txwac_qm16,16,2/28/2025 8:07:00 PM,blue,frc7121,17,2,14,0,0,0,3,3,0,0,1,Inside,1,0,0,0,0,0,0,4.832665418189764,0,6.832665418189743,30.0,1,0,0,2,1,0,0,0,0,30,45,Not Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm16,16,2/28/2025 8:07:00 PM,blue,frc8749,18,0,6,0,12,0,0,0,0,1,0,Middle,0,0,0,0,0,0,0,0.4928154153051824,1,10.002590419632025,135.0,0,0,0,0,0,0,0,1,0,0,0,Deep Cage,1,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm16,16,2/28/2025 8:07:00 PM,red,frc10312,7,2,2,0,2,0,1,1,0,1,0,Middle,1,0,0,0,0,0,0,0.4928154153051824,0,10.002590419632025,135.0,1,0,0,0,0,0,1,0,0,0,0,Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm16,16,2/28/2025 8:07:00 PM,red,frc418,30,2,25,0,2,0,5,5,1,0,0,Outside,1,0,0,0,0,0,0,5.13667160507986,0,10.002590419632025,27.0,1,0,0,5,0,0,0,0,0,0,0,Parked,1,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm16,16,2/28/2025 8:07:00 PM,red,frc1296,42,9,20,0,12,1,4,5,1,0,0,Outside,1,1,0,0,0,0,0,4.955466507518048,0,6.002590419632064,28.75,1,1,0,4,0,0,0,0,0,20,0,Deep Cage,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm17,17,2/28/2025 8:15:00 PM,red,frc2468,17,2,12,0,2,0,5,5,0,1,0,Middle,1,0,0,0,0,0,0,5.13667160507986,0,10.002590419632025,27.0,1,0,0,0,0,2,3,0,0,0,0,Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm17,17,2/28/2025 8:15:00 PM,red,frc8732,11,0,11,0,0,0,3,3,1,0,0,Outside,0,0,0,0,0,0,0,3.662740416747463,0,10.002590419632025,45.0,0,0,0,0,2,1,0,0,0,0,0,Not Parked,0,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm17,17,2/28/2025 8:15:00 PM,red,frc8769,9,2,6,0,0,0,2,2,1,0,0,Outside,1,0,0,0,0,0,0,2.492815415305163,0,10.002590419632025,67.5,1,0,0,0,0,2,0,0,0,0,0,Not Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm17,17,2/28/2025 8:15:00 PM,blue,frc2689,36,5,18,0,12,1,9,10,1,0,0,Outside,1,0,0,0,1,0,0,7.29531651040265,0,6.002590419632064,12.77777777777778,1,0,0,0,0,0,9,0,0,20,0,Deep Cage,0,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm17,17,2/28/2025 8:15:00 PM,blue,frc2950,31,2,26,0,2,0,1,1,0,0,1,Inside,1,0,0,0,0,0,0,5.358734229857346,4,8.002590419632043,25.0,0,1,0,0,0,0,1,4,0,10,0,Parked,0,0,0,1.0,0,1
frc8749,2025,2025txwac,2025txwac_qm17,17,2/28/2025 8:15:00 PM,blue,frc5503,2,0,0,0,2,0,0,0,0,1,0,Middle,0,0,0,0,0,0,0,0.002590419632126,0,10.002590419632025,160.0,0,0,0,0,0,0,0,0,0,0,0,Parked,0,0,0,1.0,0,0
frc8749,2025,2025txwac,2025txwac_qm18,18,2/28/2025 8:23:00 PM,blue,frc6526,0,0,0,0,0,0,0,0,0,0,1,Inside,0,0,0,0,0,0,0,0.002590419632126,0,10.002590419632025,160.0,0,0,0,0,0,0,0,0,0,0,0,Not Parked,0,1,0,0.0,0,0
